Feature,VIF
const,3466.56375319105
PPG,10.911729488578457
APG,3.1580433747450254
RPG,3.932023490782846
BSPG,3.214847761912719
TS%,6.4153397086964885
PER,33.64298831535812
WS/48,13.589476920354436
Age,24.67444822279787
Seasons,25.48304893082296
Draft Pos,2.0055865414789404
All Stars,7.879509483332062
Games Played,1.4952376830879008
Guard,6.0580357927223005
Forward,4.0706886009592225
Big Market,1.32460407097216
Rookie Deal,2.584055024597384
